Title,Year,Rated,Runtime,Genre,Lead_1,Lead_1_Male,Lead_2,Lead_2_Male,Plot,Poster,Metascore,imdbID,BoxOffice
Avatar,2009,PG-13,162,Action,Sam Worthington,TRUE,Zoe Saldana,FALSE,"When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers intel for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,83,tt0499549,749700000
Transformers: Revenge of the Fallen,2009,PG-13,150,Action,Shia LaBeouf,TRUE,Megan Fox,FALSE,"A youth chooses manhood. The week Sam Witwicky starts college, the Decepticons make trouble in Shanghai. A presidential envoy believes it's because the Autobots are around; he wants them gone. He's wrong: the Decepticons need access to Sam's mind to see some glyphs imprinted there that will lead them to a fragile object that, when inserted in an alien machine hidden in Egypt for centuries, will give them the power to blow out the sun. Sam, his girlfriend Mikaela Banes, and Sam's parents are in danger. Optimus Prime and Bumblebee are Sam's principal protectors. If one of them goes down, what becomes of Sam?",https://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,35,tt1055369,402076689
Harry Potter and the Half-Blood Prince,2009,PG,153,Adventure,Daniel Radcliffe,TRUE,Emma Watson,FALSE,"In the sixth year at Hogwarts School of Witchcraft, and in both wizard and muggle worlds Lord Voldemort and his henchmen are increasingly active. With vacancies to fill at Hogwarts, Professor Dumbledore persuades Horace Slughorn, back from retirement to become the potions teacher, while Professor Snape receives long awaited news. Harry Potter, together with Dumbledore, must face treacherous tasks to defeat his evil nemesis.",https://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,78,tt0417741,301920409
The Twilight Saga: New Moon,2009,PG-13,130,Adventure,Kristen Stewart,FALSE,Robert Pattinson,TRUE,"After Bella recovers from the vampire attack that almost claimed her life, she looks to celebrate her birthday with Edward and his family. However, a minor accident during the festivities results in Bella's blood being shed, a sight that proves too intense for the Cullens, who decide to leave the town of Forks, Washington for Bella and Edward's sake. Initially heartbroken, Bella finds a form of comfort in reckless living, as well as an even-closer friendship with Jacob Black. Danger in different forms awaits.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,44,tt1259571,296593070
Up,2009,PG,96,Animation,Edward Asner,TRUE,Jordan Nagai,TRUE,Carl Fredricksen as a boy wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with a Boy Scout named Russel with help from 500 balloons. On their journey they discover many new friends including a talking dog and Carl and Russel figure out that someone evil plans. Carl soon realizes that this evildoer is his childhood idol. Will they be able to defeat him and will they find Paradise Falls?,https://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,88,tt1049413,292979556
The Hangover,2009,R,100,Comedy,Zach Galifianakis,TRUE,Bradley Cooper,TRUE,"Angelenos Doug Billings and Tracy Garner are about to get married. Two days before the wedding, the four men in the wedding party - Doug, Doug's two best buddies Phil Wenneck and Stu Price, and Tracy's brother Alan Garner - hop into Tracy's father's beloved Mercedes convertible for a 24-hour stag party to Las Vegas. Phil, a married high school teacher, has the same maturity level as his students when he's with his pals. Stu, a dentist, is worried about everything, especially what his controlling girlfriend Melissa thinks. Because she disapproves of traditional male bonding rituals, Stu has to lie to her about the stag, he telling her that they are going on a wine tasting tour in the Napa Valley. Regardless, he intends on eventually marrying her, against the advice and wishes of his friends. And Alan seems to be unaware of what are considered the social graces of the western world. The morning after their arrival in Las Vegas, they awaken in their hotel suite each with the worst hangover. None remembers what happened in the past twelve or so hours. The suite is in shambles. And certain things are in the suite that shouldn't be, and certain things that should be in the suite are missing. Probably the most important in the latter category is Doug. As Phil, Stu and Alan try to find Doug using only what little pieces of information they have at hand, they go on a journey of discovery of how certain things got into the suite and what happened to the missing items. However they are on a race for time as if they can't find Doug in the next few hours, they are going to have to explain to Tracy why they are not yet back in Los Angeles. And even worse, they may not find Doug at all before the wedding.",https://ia.media-imdb.com/images/M/MV5BNDAxMTZmZGItZmM2NC00M2E1LWI1NmEtZjhhODM2MGU0ZmJlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,73,tt1119646,277313371
Star Trek,2009,PG-13,127,Action,Chris Pine,TRUE,Zachary Quinto,TRUE,"On the day of James Kirk's birth, his father dies on his damaged starship in a last stand against a Romulan mining vessel looking for Ambassador Spock, who in this time, has grown on Vulcan disdained by his neighbors for his half-human heritage. 25 years later, James T. Kirk has grown into a young rebellious troublemaker. Challenged by Captain Christopher Pike to realize his potential in Starfleet, he comes to annoy academy instructors like Commander Spock. Suddenly, there is an emergency on Vulcan and the newly-commissioned USS Enterprise is crewed with promising cadets like Nyota Uhura, Hikaru Sulu, Pavel Chekov and even Kirk himself, thanks to Leonard McCoy's medical trickery. Together, this crew will have an adventure in the final frontier where the old legend is altered forever as a new version of the legend begins.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,82,tt0796366,257704099
The Blind Side,2009,PG-13,129,Biography,Quinton Aaron,TRUE,Sandra Bullock,FALSE,"Based on the true story of Leigh Anne Tuohy and Sean Tuohy who take in a homeless teenage African-American, Michael Oher. Michael has no idea who his father is and his mother is a drug addict. Michael has had little formal education and few skills to help him learn. Leigh Anne soon takes charge however, as is her nature, ensuring that the young man has every opportunity to succeed. When he expresses an interest in football, she goes all out to help him, including giving the coach a few ideas on how best to use Michael's skills. They not only provide him with a loving home, but hire a tutor to help him improve his grades to the point where he would qualify for an NCAA Division I athletic scholarship. Michael Oher was the first-round pick of the Baltimore Ravens in the 2009 NFL draft.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,53,tt0878804,255900000
Alvin and the Chipmunks: The Squeakquel,2009,PG,88,Animation,Jason Lee,TRUE,Zachary Levi,TRUE,"After a concert mishap lands Dave in the hospital, Alvin, Simon, and Theodore end up in the care of Dave's twenty-something cousin Toby. When the Chipmunks put aside their stardom to return to school to win a annual ""Battle of the Bands"" competition to save the school's music program. But the boys meet their match with the Chipettes, Brittany, Jeanette, & Eleanor, who are working for the Chipmunks's ex-manager Ian Hawke. Romantic sparks and crazy mishaps happen when the Chipmunks and Chipettes square off.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTc3MjU5M15BMl5BanBnXkFtZTcwODM4Nzg2Mg@@._V1_SX300.jpg,41,tt1231580,219304216
Sherlock Holmes,2009,PG-13,128,Action,Robert Downey Jr.,TRUE,Jude Law,TRUE,"After finally catching serial killer and occult ""sorcerer"" Lord Blackwood, legendary sleuth Sherlock Holmes and his assistant Dr. Watson can close yet another successful case. But when Blackwood mysteriously returns from the grave and resumes his killing spree, Holmes must take up the hunt once again. Contending with his partner's new fiancée and the dimwitted head of Scotland Yard, the dauntless detective must unravel the clues that will lead him into a twisted web of murder, deceit, and black magic - and the deadly embrace of temptress Irene Adler.",https://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,57,tt0988045,208711166
Monsters Vs. Aliens,2009,PG,94,Animation,Reese Witherspoon,FALSE,Rainn Wilson,TRUE,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth. ,"https://ia.media-imdb.com/images/M/MV5BMTY0OTQ3MzE3MV5BMl5BanBnXkFtZTcwMDQyMzMzMg@@._V1_UX182_CR0,0,182,268_AL_.jpg",56,tt0892782,198351526
